"spende","datum"
10000,2017-09-29
5000,2017-09-25
5000,2017-09-25
10000,2017-09-20
10000,2017-09-20
10000,2017-09-20
5000,2017-09-20
5000,2017-09-20
5000,2017-09-14
20000,2017-09-14
10000,2017-09-14
30000,2017-09-14
7000,2017-09-13
30000,2017-09-13
40000,2017-09-13
11111,2017-09-12
50000,2017-09-11
25000,2017-09-11
5000,2017-09-11
6000,2017-08-24
10000,2017-08-18
11000,2017-08-18
20000,2017-08-18
20000,2017-08-11
4000,2017-08-11
40000,2017-08-11
10000,2017-08-11
5000,2017-08-11
50000,2017-08-11
20000,2017-08-09
30000,2017-08-09
4000,2017-08-04
8000,2017-08-04
30000,2017-08-04
20000,2017-08-04
5000,2017-08-04
436563,2017-08-04
10000,2017-08-04
20000,2017-08-04
15000,2017-08-04
35000,2017-08-04
40000,2017-08-04
5000,2017-07-28
10000,2017-07-27
5000,2017-07-27
5000,2017-07-27
5000,2017-07-21
10000,2017-07-20
10000,2017-07-20
5000,2017-07-07
