"spende","datum"
30,2017-09-30
20,2017-09-29
110,2017-09-29
50,2017-09-29
10,2017-09-29
10,2017-09-29
100,2017-09-29
100,2017-09-29
50,2017-09-29
100,2017-09-29
50,2017-09-29
100,2017-09-29
100,2017-09-29
20,2017-09-29
20,2017-09-29
10,2017-09-29
50,2017-09-29
50,2017-09-29
100,2017-09-29
50,2017-09-29
50,2017-09-29
25,2017-09-29
20,2017-09-29
10,2017-09-29
100,2017-09-29
100,2017-09-29
500,2017-09-29
150,2017-09-29
100,2017-09-29
50,2017-09-29
50,2017-09-29
10,2017-09-29
50,2017-09-29
100,2017-09-29
20,2017-09-29
50,2017-09-29
20,2017-09-29
100,2017-09-29
100,2017-09-29
50,2017-09-29
25,2017-09-29
10,2017-09-29
50,2017-09-29
100,2017-09-29
100,2017-09-29
20,2017-09-29
100,2017-09-29
10,2017-09-29
100,2017-09-29
100,2017-09-29
100,2017-09-29
50,2017-09-29
50,2017-09-29
100,2017-09-29
20,2017-09-29
10,2017-09-29
50,2017-09-29
100,2017-09-29
20,2017-09-29
10,2017-09-29
50,2017-09-29
1,2017-09-29
20,2017-09-29
20,2017-09-29
25,2017-09-29
10,2017-09-29
18,2017-09-29
30,2017-09-29
300,2017-09-29
50,2017-09-29
12,2017-09-29
50,2017-09-29
20,2017-09-29
15,2017-09-29
10,2017-09-29
50,2017-09-29
16,2017-09-29
100,2017-09-29
150,2017-09-29
30,2017-09-29
200,2017-09-29
100,2017-09-29
50,2017-09-29
20,2017-09-29
50,2017-09-29
50,2017-09-29
100,2017-09-29
10,2017-09-29
30,2017-09-29
20,2017-09-29
50,2017-09-29
20,2017-09-29
20,2017-09-29
10,2017-09-29
20,2017-09-29
50,2017-09-29
50,2017-09-29
20,2017-09-29
50,2017-09-29
30,2017-09-29
1000,2017-09-29
40,2017-09-29
50,2017-09-29
30,2017-09-29
100,2017-09-29
50,2017-09-29
100,2017-09-29
50,2017-09-29
50,2017-09-29
20,2017-09-29
20,2017-09-29
20,2017-09-29
25,2017-09-29
12,2017-09-29
100,2017-09-29
50,2017-09-29
200,2017-09-29
10,2017-09-29
5,2017-09-29
200,2017-09-29
20,2017-09-29
5,2017-09-29
15,2017-09-29
25,2017-09-29
20,2017-09-29
10,2017-09-29
100,2017-09-29
20,2017-09-29
100,2017-09-29
100,2017-09-29
40,2017-09-29
20,2017-09-29
5,2017-09-29
20,2017-09-29
50,2017-09-29
100,2017-09-29
20,2017-09-29
100,2017-09-29
30,2017-09-29
50,2017-09-29
10,2017-09-29
250,2017-09-29
200,2017-09-29
30,2017-09-29
30,2017-09-29
50,2017-09-29
100,2017-09-29
10,2017-09-29
10,2017-09-29
25,2017-09-29
100,2017-09-29
20,2017-09-29
20,2017-09-29
50,2017-09-29
30,2017-09-29
100,2017-09-29
5,2017-09-29
100,2017-09-29
25,2017-09-29
20,2017-09-29
20,2017-09-29
70,2017-09-29
20,2017-09-29
20,2017-09-29
20,2017-09-29
20,2017-09-29
50,2017-09-29
50,2017-09-29
5,2017-09-29
10,2017-09-29
100,2017-09-29
50,2017-09-29
15,2017-09-28
100,2017-09-28
30,2017-09-28
20,2017-09-28
10,2017-09-28
500,2017-09-28
100,2017-09-28
72,2017-09-28
80,2017-09-28
100,2017-09-28
500,2017-09-28
30,2017-09-28
100,2017-09-28
20,2017-09-28
50,2017-09-28
25,2017-09-28
